strategy,scenario,seed,max_steps,environment_backend,completed,completion_rate,makespan,delivered_resources,total_resources,total_collected_value,average_travel_distance,idle_time_ratio,average_team_formation_time,replans,communication_messages,llm_token_usage,average_llm_latency_ms,invalid_llm_outputs,failure_recovery_time,stage_available,stage_world_path,stage_bitmap_path,stage_manifest_path,stage_smoketest_passed,notes
centralized,baseline,10,220,stage_world,True,1.0,132,8,8,95,121.0,0.08333333333333333,6.875,8,550,0,0.0,0,,False,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed10.world,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed10_floorplan.png,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed10_stage_manifest.json,,"{'explored_ratio': 0.8951048951048951, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
centralized,baseline,11,220,stage_world,False,0.875,220,7,8,78,171.0,0.22272727272727272,9.571428571428571,8,900,0,0.0,0,,False,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed11.world,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed11_floorplan.png,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed11_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
centralized,baseline,12,220,stage_world,True,1.0,143,8,8,82,114.0,0.20279720279720279,5.625,8,590,0,0.0,0,,False,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed12.world,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed12_floorplan.png,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed12_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
centralized,baseline,13,220,stage_world,True,1.0,185,8,8,89,154.0,0.16756756756756758,11.375,8,766,0,0.0,0,,False,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed13.world,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed13_floorplan.png,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed13_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
centralized,baseline,14,220,stage_world,True,1.0,144,8,8,100,130.75,0.0920138888888889,5.125,7,596,0,0.0,0,,False,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed14.world,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed14_floorplan.png,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed14_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
centralized,baseline,15,220,stage_world,True,1.0,142,8,8,100,127.0,0.1056338028169014,10.25,8,593,0,0.0,0,,False,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed15.world,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed15_floorplan.png,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed15_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
centralized,baseline,16,220,stage_world,True,1.0,132,8,8,96,126.0,0.045454545454545456,6.625,8,551,0,0.0,0,,False,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed16.world,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed16_floorplan.png,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed16_stage_manifest.json,,"{'explored_ratio': 0.986013986013986, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
centralized,baseline,17,220,stage_world,True,1.0,152,8,8,104,141.75,0.06743421052631579,6.0,6,627,0,0.0,0,,False,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed17.world,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed17_floorplan.png,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed17_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
centralized,baseline,18,220,stage_world,True,1.0,162,8,8,100,137.0,0.15432098765432098,8.125,8,672,0,0.0,0,,False,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed18.world,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed18_floorplan.png,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed18_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
centralized,baseline,19,220,stage_world,True,1.0,174,8,8,87,147.75,0.15086206896551724,12.875,8,719,0,0.0,0,,False,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed19.world,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed19_floorplan.png,results_openai_gpt54/stage/baseline/centralized/baseline_centralized_seed19_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
contract_net,baseline,0,220,stage_world,True,1.0,212,8,8,99,180.5,0.14858490566037735,17.125,8,55,0,0.0,0,,False,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed0.world,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed0_floorplan.png,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed0_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
contract_net,baseline,1,220,stage_world,True,1.0,136,8,8,91,126.5,0.06985294117647059,6.75,8,68,0,0.0,0,,False,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed1.world,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed1_floorplan.png,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed1_stage_manifest.json,,"{'explored_ratio': 0.9895104895104895, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
contract_net,baseline,2,220,stage_world,True,1.0,188,8,8,100,154.5,0.17819148936170212,8.75,7,71,0,0.0,0,,False,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed2.world,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed2_floorplan.png,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed2_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
contract_net,baseline,3,220,stage_world,True,1.0,154,8,8,100,133.5,0.1331168831168831,8.0,8,63,0,0.0,0,,False,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed3.world,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed3_floorplan.png,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed3_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
contract_net,baseline,4,220,stage_world,True,1.0,134,8,8,76,126.0,0.05970149253731343,6.25,7,57,0,0.0,0,,False,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed4.world,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed4_floorplan.png,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed4_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
contract_net,baseline,5,220,stage_world,True,1.0,112,8,8,100,107.5,0.04017857142857143,7.75,8,59,0,0.0,0,,False,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed5.world,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed5_floorplan.png,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed5_stage_manifest.json,,"{'explored_ratio': 0.8111888111888111, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
contract_net,baseline,6,220,stage_world,True,1.0,196,8,8,93,174.0,0.11224489795918367,16.125,7,65,0,0.0,0,,False,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed6.world,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed6_floorplan.png,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed6_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
contract_net,baseline,7,220,stage_world,True,1.0,78,8,8,93,75.5,0.03205128205128205,3.375,8,64,0,0.0,0,,False,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed7.world,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed7_floorplan.png,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed7_stage_manifest.json,,"{'explored_ratio': 0.8321678321678322, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
contract_net,baseline,8,220,stage_world,True,1.0,156,8,8,91,141.5,0.09294871794871795,10.0,8,63,0,0.0,0,,False,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed8.world,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed8_floorplan.png,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed8_stage_manifest.json,,"{'explored_ratio': 0.986013986013986, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
contract_net,baseline,9,220,stage_world,True,1.0,136,8,8,86,133.5,0.01838235294117647,9.25,7,63,0,0.0,0,,False,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed9.world,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed9_floorplan.png,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed9_stage_manifest.json,,"{'explored_ratio': 0.9370629370629371, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
contract_net,baseline,10,220,stage_world,True,1.0,128,8,8,95,117.0,0.0859375,8.625,8,66,0,0.0,0,,False,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed10.world,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed10_floorplan.png,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed10_stage_manifest.json,,"{'explored_ratio': 0.9685314685314685, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
contract_net,baseline,11,220,stage_world,False,0.875,220,7,8,78,171.5,0.22045454545454546,11.0,8,65,0,0.0,0,,False,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed11.world,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed11_floorplan.png,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed11_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
contract_net,baseline,12,220,stage_world,True,1.0,126,8,8,82,111.5,0.11507936507936507,9.75,8,55,0,0.0,0,,False,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed12.world,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed12_floorplan.png,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed12_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
contract_net,baseline,13,220,stage_world,True,1.0,174,8,8,89,153.0,0.1206896551724138,12.375,7,67,0,0.0,0,,False,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed13.world,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed13_floorplan.png,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed13_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
contract_net,baseline,14,220,stage_world,True,1.0,146,8,8,100,135.0,0.07534246575342465,9.625,8,55,0,0.0,0,,False,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed14.world,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed14_floorplan.png,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed14_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
contract_net,baseline,15,220,stage_world,True,1.0,142,8,8,100,126.25,0.11091549295774648,10.875,8,62,0,0.0,0,,False,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed15.world,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed15_floorplan.png,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed15_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
contract_net,baseline,16,220,stage_world,True,1.0,130,8,8,96,120.5,0.07307692307692308,7.5,7,64,0,0.0,0,,False,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed16.world,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed16_floorplan.png,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed16_stage_manifest.json,,"{'explored_ratio': 0.9790209790209791, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
contract_net,baseline,17,220,stage_world,True,1.0,142,8,8,104,136.0,0.04225352112676056,6.875,6,59,0,0.0,0,,False,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed17.world,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed17_floorplan.png,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed17_stage_manifest.json,,"{'explored_ratio': 0.9370629370629371, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
contract_net,baseline,18,220,stage_world,True,1.0,156,8,8,100,139.5,0.10576923076923077,8.875,8,60,0,0.0,0,,False,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed18.world,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed18_floorplan.png,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed18_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
contract_net,baseline,19,220,stage_world,True,1.0,168,8,8,87,147.0,0.125,13.125,8,62,0,0.0,0,,False,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed19.world,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed19_floorplan.png,results_openai_gpt54/stage/baseline/contract_net/baseline_contract_net_seed19_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
llm,baseline,0,220,stage_world,False,0.875,220,7,8,87,174.5,0.20681818181818182,15.571428571428571,7,103,21529,120.00007286540826,0,,False,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed0.world,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed0_floorplan.png,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed0_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
llm,baseline,1,220,stage_world,True,1.0,134,8,8,91,119.75,0.10634328358208955,6.25,7,70,11848,2273.397654252196,0,,False,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed1.world,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed1_floorplan.png,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed1_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
llm,baseline,2,220,stage_world,True,1.0,193,8,8,100,156.5,0.18911917098445596,11.5,6,95,18055,2440.5302788649137,1,,False,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed2.world,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed2_floorplan.png,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed2_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
llm,baseline,3,220,stage_world,True,1.0,152,8,8,100,131.0,0.13815789473684212,8.25,7,77,13370,2282.2100485443707,0,,False,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed3.world,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed3_floorplan.png,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed3_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
llm,baseline,4,220,stage_world,True,1.0,130,8,8,76,125.0,0.038461538461538464,9.875,7,63,11851,3421.878730712745,0,,False,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed4.world,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed4_floorplan.png,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed4_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
llm,baseline,5,220,stage_world,True,1.0,122,8,8,100,116.0,0.04918032786885246,5.875,7,63,11024,3427.5530449766666,1,,False,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed5.world,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed5_floorplan.png,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed5_stage_manifest.json,,"{'explored_ratio': 0.9825174825174825, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
llm,baseline,6,220,stage_world,False,0.875,220,7,8,82,176.5,0.19772727272727272,12.857142857142858,8,105,20099,2484.073656255972,1,,False,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed6.world,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed6_floorplan.png,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed6_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
llm,baseline,7,220,stage_world,True,1.0,82,8,8,93,79.0,0.036585365853658534,2.875,6,46,7573,2320.9906544185737,0,,False,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed7.world,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed7_floorplan.png,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed7_stage_manifest.json,,"{'explored_ratio': 0.9895104895104895, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
llm,baseline,8,220,stage_world,True,1.0,144,8,8,91,135.0,0.0625,6.875,8,73,12632,2889.700067487128,0,,False,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed8.world,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed8_floorplan.png,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed8_stage_manifest.json,,"{'explored_ratio': 0.9265734265734266, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
llm,baseline,9,220,stage_world,True,1.0,156,8,8,86,141.5,0.09294871794871795,11.375,7,81,15143,2345.589601548563,1,,False,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed9.world,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed9_floorplan.png,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed9_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
llm,baseline,10,220,stage_world,True,1.0,128,8,8,95,121.5,0.05078125,5.375,7,68,11115,2889.791049623074,0,,False,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed10.world,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed10_floorplan.png,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed10_stage_manifest.json,,"{'explored_ratio': 0.9965034965034965, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
llm,baseline,11,220,stage_world,False,0.875,220,7,8,82,167.0,0.2409090909090909,11.142857142857142,8,103,19036,2364.1918778190898,1,,False,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed11.world,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed11_floorplan.png,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed11_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
llm,baseline,12,220,stage_world,True,1.0,134,8,8,82,126.5,0.055970149253731345,13.5,7,65,12388,2570.3886404240297,0,,False,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed12.world,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed12_floorplan.png,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed12_stage_manifest.json,,"{'explored_ratio': 0.9895104895104895, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
llm,baseline,13,220,stage_world,True,1.0,180,8,8,89,169.5,0.058333333333333334,11.625,7,89,15941,2392.4904663821994,0,,False,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed13.world,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed13_floorplan.png,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed13_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
llm,baseline,14,220,stage_world,True,1.0,144,8,8,100,128.0,0.1111111111111111,6.75,7,71,12839,2125.159317612134,0,,False,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed14.world,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed14_floorplan.png,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed14_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
llm,baseline,15,220,stage_world,True,1.0,158,8,8,100,122.5,0.22468354430379747,9.125,8,80,14020,2225.787258959026,1,,False,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed15.world,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed15_floorplan.png,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed15_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
llm,baseline,16,220,stage_world,True,1.0,157,8,8,96,119.0,0.24203821656050956,7.75,7,78,13789,2649.8443216015585,0,,False,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed16.world,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed16_floorplan.png,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed16_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
llm,baseline,17,220,stage_world,True,1.0,148,8,8,104,135.0,0.08783783783783784,4.0,7,75,12956,2260.682126325555,0,,False,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed17.world,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed17_floorplan.png,results_openai_gpt54/stage/baseline/llm/baseline_llm_seed17_stage_manifest.json,,"{'explored_ratio': 1.0, 'stage_smoke_test_ran': False, 'stage_smoke_test_return_code': None}"
